SOURCE,TAPS,STOP_WEIGHT,MAX_COEFF_INT,REQUIRED_COEFF_W,PHASE0_MAC_TASKS,PHASE1_MAC_TASKS,DEADLINE_MARGIN_AUDIO_CYCLES,WORST_ABS_PASS_DB,WORST_128X_STOP_DB,WORST_ABS_DC_DB,WORST_MODE_DELTA_DB,SYMMETRY_ERROR,COEFF_FIT,FREQUENCY_PASS,SCHEDULE_PASS,PASS,BITTRUE_EVALUATED,BITTRUE_PASS,BITTRUE_MAX_STAGE3_SAT_DELTA,BITTRUE_MAX_CIC_SAT_DELTA,BITTRUE_MIN_SNR_DB,BITTRUE_FAIL_CASES
joint_ls_t13_w10,13,10,22608,16,7,6,6,0.00356209433013703,72.3668727892059,0.00265093350267563,0.00159028830287829,0,1,1,1,1,0,0,NaN,NaN,NaN,
joint_ls_t15_w0,15,0,1360375,22,8,7,5,0.00350203132065557,-25.9176555394633,0.00265093350267563,0.00172279918624303,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w1e-06,15,1e-06,4540721,24,8,7,5,0.00350203132065557,23.6676280710149,0.00265093350267563,0.00172279918625267,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w1e-05,15,1e-05,4286869,24,8,7,5,0.00350203132065557,24.066499977448,0.00265093350267563,0.00145777539792232,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w0.0001,15,0.0001,2744400,23,8,7,5,0.00350203132065557,27.9386314321481,0.00265093350267563,0.00132526047129511,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w0.001,15,0.001,601150,21,8,7,5,0.00590824682671459,41.2060955260895,0.00265093350267563,0.00132526047130476,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w0.01,15,0.01,73792,18,8,7,5,0.00673993524008636,60.1770532996559,0.00265093350267563,0.001855308048084,0,1,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t15_w0.1,15,0.1,16228,15,8,7,5,0.00688317861166647,72.3740169293878,0.00265093350267563,0.00159028830289372,0,1,1,1,1,0,0,NaN,NaN,NaN,
joint_ls_t15_w1,15,1,20294,16,8,7,5,0.00693268872534745,72.3740770811808,0.00265093350267563,0.00145777539791846,0,1,1,1,1,0,0,NaN,NaN,NaN,
joint_ls_t15_w10,15,10,20761,16,8,7,5,0.00666585158519945,72.3738288275362,0.00265093350267563,0.00185530804809172,0,1,1,1,1,0,0,NaN,NaN,NaN,
joint_ls_t17_w0,17,0,1387070,22,9,8,4,0.00350203132065557,-25.8113177412176,0.00265093350267563,0.00159028830288793,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w1e-06,17,1e-06,1069291,22,9,8,4,0.00350203132065557,32.5066407974673,0.00265093350267563,0.00145777539792714,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w1e-05,17,1e-05,1878987,22,9,8,4,0.00350203132065557,44.6381910897702,0.00265093350267563,0.00145777539792425,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w0.0001,17,0.0001,2013268,22,9,8,4,0.00350203132065557,44.4051258491108,0.00265093350267563,0.00159028830289083,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w0.001,17,0.001,2026751,22,9,8,4,0.00350203132065557,44.3842503780521,0.00265093350267563,0.00145777539792136,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w0.01,17,0.01,2019778,22,9,8,4,0.00350203132065557,44.4182342939437,0.00265093350267563,0.00132526047128933,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w0.1,17,0.1,1939490,22,9,8,4,0.00350203132065557,44.7743161489968,0.00265093350267563,0.00159028830288118,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w1,17,1,1388596,22,9,8,4,0.00350203132065557,47.7104127268588,0.00265093350267563,0.00132526047129318,0,0,0,1,0,0,0,NaN,NaN,NaN,
joint_ls_t17_w10,17,10,371300,20,9,8,4,0.0056150432996006,59.5006590503063,0.00265093350267563,0.00132526047129511,0,0,0,1,0,0,0,NaN,NaN,NaN,
