NODE,FS_IN_HZ,FS_OUT_HZ,SHAPE_PASS_ABS_MAX_DB,SHAPE_RIPPLE_PP_DB,ABSOLUTE_PASS_ABS_MAX_DB,ABSOLUTE_STOP_ATTENUATION_DB,WORST_STOP_FREQUENCY_HZ,DC_GAIN_DB,MODE_DELTA_FROM_4X_DB,SYMMETRY_ERROR,GROUP_DELAY_SAMPLES,PHASE_FIT_RESIDUAL_RAD,PASS
4x,44100,176400,0.00461300731879101,0.00570891712348844,0.00302242779875366,78.5683788558228,31397.0460067749,-0.00159057952002872,0,0,112,7.105427357601e-14,1
8x,44100,352800,0.00532191078176984,0.00619159668891185,0.00352061940982608,78.6092437869588,31396.9524719238,-0.00265093350267563,-0.00106035398264691,0,229,1.4210854715202e-13,1
128x,44100,5644800,0.00448151693250817,0.005848094824181,0.00772977005004282,72.3709496592582,331956.569970703,-0.00636319215836145,-0.00477261263833273,0,3686.5,2.8421709430404e-14,1
4x,48000,192000,0.00461300731879101,0.00570891712348844,0.00302242779875366,78.568378855593,34173.65625,-0.00159057952002872,0,0,112,5.6843418860808e-14,1
8x,48000,384000,0.00532191078176984,0.005678221908803,0.00300724462971709,78.609243786767,34173.5537109375,-0.00265093350267563,-0.00106035398264691,0,229,2.8421709430404e-14,1
128x,48000,6144000,0.00448151693250817,0.00572435647439165,0.0076060317002533,72.3709496592765,361313.2734375,-0.00636319215836145,-0.00477261263833273,0,3686.5,2.8421709430404e-14,1
