CASE_NAME,FS_IN_HZ,NODE,OUTPUT_FACTOR,SAMPLE_COUNT,MAX_ERROR_LSB,RMS_ERROR_LSB,SQNR_DB,DC_ERROR_LSB,ACC_OVERFLOW_COUNT,WHOLE_RUN_SATURATION_COUNT,ANALYZED_OUTPUT_RAIL_COUNT,EXPECTED_BOUNDARY_CASE
random_seed01,0,8x,8,8643,25.6374416166218,7.52472943428227,97.9125715006523,-0.0774030578467577,0,0,0,0
random_seed01,0,128x,128,138368,31.5176261060406,8.26384127087515,97.0914556827132,0.0201021676769335,0,0,0,0
random_seed02,0,4x,4,4317,17.8020399156958,6.28030215311303,99.4128143015098,0.295910935780779,0,0,0,0
random_seed02,0,8x,8,8643,24.2650236234476,7.53650321295458,97.8242842871516,0.323119271253449,0,0,0,0
random_seed02,0,128x,128,138368,29.9742748156568,8.23225602877239,97.0500187481559,0.302961484460773,0,0,0,0
random_seed03,0,4x,4,4317,17.0602758415043,6.11951325071295,99.8711722185667,-0.236185158240676,0,0,0,0
random_seed03,0,8x,8,8643,23.5446396426996,7.52392217625324,98.0718311675798,-0.164585536295492,0,0,0,0
random_seed03,0,128x,128,138368,29.8238548206864,8.11425755294051,97.4084976167818,-0.214289297743745,0,0,0,0
random_seed04,0,4x,4,4317,17.6754177678376,6.21326538259753,99.4517291408461,-0.0217752286563296,0,0,0,0
random_seed04,0,8x,8,8643,24.1742641506717,7.52105304280871,97.7877867386414,-0.0357939588807525,0,0,0,0
random_seed04,0,128x,128,138368,29.0113088022335,8.18570304720754,97.0449665940263,-0.0153820357607436,0,0,0,0
random_seed05,0,4x,4,4317,16.8988132243976,6.32881752663059,99.3482148755266,0.10274299372394,0,0,0,0
random_seed05,0,8x,8,8643,24.5852780920686,7.58113839202499,97.7752089640604,0.10930880149424,0,0,0,0
random_seed05,0,128x,128,138368,30.0961215558928,8.35357172929788,96.9251817481562,0.152103758543954,0,0,0,0
random_seed06,0,4x,4,4317,16.7629568548873,6.10689878167474,99.4775448163062,0.00934294558576558,0,0,0,0
random_seed06,0,8x,8,8643,23.8298422404041,7.39248461693646,97.8133491635112,-0.00788606515146566,0,0,0,0
random_seed06,0,128x,128,138368,28.9853171962313,8.12671330086052,96.9836073748394,-0.0257634477083045,0,0,0,0
random_seed07,0,4x,4,4317,17.9717689976096,6.20482833052143,99.6824253907582,0.253674211782633,0,0,0,0
random_seed07,0,8x,8,8643,23.5492478193046,7.45675135928376,98.0812848506401,0.253065920635273,0,0,0,0
random_seed07,0,128x,128,138368,31.7080496851413,8.19110808851112,97.2581466942818,0.242926130089263,0,0,0,0
random_seed08,0,4x,4,4317,17.7750311950222,6.06501336023253,99.5440243585527,-0.0610702193001506,0,0,0,0
random_seed08,0,8x,8,8643,22.5988809763949,7.35373786905172,97.8657490671719,-0.0900517726096125,0,0,0,0
random_seed08,0,128x,128,138368,32.3848840855062,8.10846964858798,97.0098492166957,-0.0792001302929773,0,0,0,0
random_seed09,0,4x,4,4317,17.5624025501311,6.30582535324449,99.4557260085762,-0.0529869986210042,0,0,0,0
random_seed09,0,8x,8,8643,23.0011311618437,7.55356316005059,97.8827485355806,-0.00611770293124447,0,0,0,0
random_seed09,0,128x,128,138368,29.0741635435843,8.31791051357279,97.0382266790865,-0.134700814932843,0,0,0,0
random_seed10,0,4x,4,4317,17.2101251464337,6.22819263788761,99.4285740155426,-0.00623539793621149,0,0,0,0
random_seed10,0,8x,8,8643,25.0241903271526,7.44402498402732,97.8749113118173,-0.0135624758699448,0,0,0,0
random_seed10,0,128x,128,138368,30.0324475383677,8.20437722046048,97.0228563961532,-0.0157382751992274,0,0,0,0
alternating_fullscale,0,4x,4,1245,3976815.81020998,224988.190199566,27.6916173219721,-4.16393072289082,0,615,10,1
alternating_fullscale,0,8x,8,2499,4138142.10757373,230977.275946146,27.4444518163771,-3.53433872633345,0,615,20,1
alternating_fullscale,0,128x,128,40064,4219039.04459031,231394.182373347,27.4169556312616,-4.71508395496441,0,615,454,1
