MODE_ID,FS_IN_HZ,OUTPUT_FACTOR,FS_OUT_HZ,PASSBAND_MAX_POS_DB,PASSBAND_MAX_NEG_DB,PASSBAND_MAX_ABS_DB,PASSBAND_PP_DB,STOPBAND_START_HZ,STOPBAND_ATTENUATION_DB,STOPBAND_PEAK_HZ,DC_GAIN_DB,GROUP_DELAY_OUTPUT_SAMPLES,GROUP_DELAY_VARIATION_SAMPLES,GROUP_DELAY_US,PHASE_RESIDUAL_MAX_RAD,SYMMETRY_MAX_ERROR_LSB,IMPULSE_SUPPORT_SAMPLES,PASS
F441_M4,44100,4,176400,0.00302236357507707,-0.00269136174955927,0.00302236357507707,0.00571372532463635,24100,78.2766796848357,31391.2044525146,-0.00161543463628955,112,1.63051083745813e-09,634.920634920635,5.6843418860808e-14,0,217,1
F441_M8,44100,8,352800,0.00271527535168796,-0.00347446522894188,0.00347446522894188,0.00618974058062984,24100,78.3591387015009,31393.7278747559,-0.00268427192419285,229,2.65387711806397e-09,649.092970521543,9.9475983006414e-14,0,433,1
F441_M128,44100,128,5644800,-0.00187210872527189,-0.00784385266720124,0.00784385266720124,0.00597174394192935,24100,72.3552518986,331972.009277344,-0.00641898510004927,3686.5,2.07774064620025e-09,653.078939909297,4.2632564145606e-14,0,6928,1
F480_M4,48000,4,192000,0.00302236357507707,-0.00269136174955927,0.00302236357507707,0.00571372532463635,28000,78.2766796848357,34167.2973632812,-0.00161543463628955,112,1.63053925916756e-09,583.333333333333,5.6843418860808e-14,0,217,1
F480_M8,48000,8,384000,0.00271527535168796,-0.00302803343433692,0.00302803343433692,0.00574330878602488,28000,78.3591387015009,34170.0439453125,-0.00268427192419285,229,1.83879933501885e-09,596.354166666666,5.6843418860808e-14,0,433,1
F480_M128,48000,128,6144000,-0.00187210872527189,-0.0076052839547698,0.0076052839547698,0.00573317522949791,28000,72.3552518986,361330.078125,-0.00641898510004927,3686.5,1.24146026792005e-09,600.016276041667,1.4210854715202e-14,0,6928,1
