WORD_LENGTH,LUT,FF,WORST_PASS_ABS_DB,WORST_STOP_DB,RTL_RELATION,BOARD_STATUS
24/22/20,221,367,0.00773,72.371,self-golden 0 LSB,board-verified
24/20/20,218,365,0.007605,72.355,self-golden 0 LSB,board-verified
