C0,C1,C2,C3,C4,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
-453,-2772,800,19170,32155,9,65645,0.0200675580600695,72.3833038494456,NaN,0.0200676938555429,72.3825917255053,0
-956,-2788,2307,19143,30032,9,65444,0.0202296420391115,71.5222497177841,NaN,0.0200162001468735,71.5164395772672,0
-478,-2725,860,19126,32085,9,65651,0.02031131360219,72.3867566839009,NaN,0.0203112461292466,72.3860358836525,0
-913,-2718,2333,19125,29979,9,65633,0.0203164543165582,72.3875189184279,NaN,0.0203164523474726,72.3867715555328,0
-926,-2733,2342,19126,29945,9,65563,0.0207795415948952,72.3919993046563,NaN,0.0205570383652286,72.3912596756749,0
-938,-2718,2416,19122,29871,9,65635,0.0207972413306336,72.3869412414682,NaN,0.0207972392866732,72.3861927563709,0
-926,-2776,2376,19171,29933,9,65623,0.0208140721659638,72.3810236772894,NaN,0.0208140322888932,72.380289067628,0
-431,-2752,586,19128,32473,9,65535,0.020830797902328,72.3903696702943,NaN,0.0206198261847494,72.3896729677395,0
-530,-2745,885,19164,32088,9,65636,0.0208325025798703,71.8133202628186,NaN,0.0208325596958955,71.8132818633142,0
-951,-2736,2224,19153,30220,9,65600,0.0208725201715885,71.0999025767146,NaN,0.0208725577644661,71.0987494843942,0
-918,-2726,2321,19134,29952,9,65574,0.0208740145459537,71.2318616293195,NaN,0.0206507521246286,71.2318383345172,0
-477,-2783,664,19150,32356,9,65464,0.0209527559628596,72.3898755978445,NaN,0.0207463870646117,72.3891931357444,0
-931,-2785,2456,19176,29797,9,65629,0.020995898977179,71.6450561660837,NaN,0.020995845265662,71.6450561225071,0
-532,-2781,810,19169,32224,9,65556,0.013023846280977,70.591363671511,NaN,NaN,NaN,0
-952,-2764,2365,19128,29940,9,65494,0.0212829240791747,71.3159190620987,NaN,0.0210650167074993,71.3157156927879,0
-498,-2811,704,19206,32413,9,65615,0.0214368223755654,71.2736331082894,NaN,0.0214367880141244,71.25978006256,0
-484,-2729,765,19113,32217,9,65547,0.0216755074312241,71.5957239732784,NaN,0.0214621634908728,71.5956826330721,0
