C0,C1,C2,C3,C4,C5,TAPS,COEFFICIENT_SUM,COARSE_WORST_PASS_DB,COARSE_WORST_STOP_DB,SEARCH_VECTOR_PEAK,PRECISE_WORST_PASS_DB,PRECISE_WORST_STOP_DB,PASS
556,129,-4230,-1551,20064,35573,11,65509,0.005559225172663,71.8552442104338,527073,NaN,NaN,0
530,129,-4154,-1542,20007,35592,11,65532,0.00284150084259112,72.3665656695183,527636,NaN,NaN,0
558,145,-4235,-1546,20068,35553,11,65533,0.00489274765958085,71.0788395511493,527222,NaN,NaN,0
563,143,-4251,-1570,20078,35615,11,65541,0.00363338202922365,72.364963047314,527482,NaN,NaN,0
562,150,-4214,-1581,20056,35609,11,65555,0.00495952491346621,71.0505498952615,527212,NaN,NaN,0
546,144,-4222,-1557,20059,35594,11,65534,0.00336637541159877,72.3652131981845,527541,NaN,NaN,0
566,122,-4208,-1587,20045,35668,11,65544,0.00399226517397311,71.2230334531202,527413,NaN,NaN,0
566,126,-4228,-1557,20059,35611,11,65543,0.00383266119439497,72.3655582435699,527447,NaN,NaN,0
556,133,-4232,-1559,20064,35587,11,65511,0.00529570062867494,72.3674225841767,527148,NaN,NaN,0
555,128,-4199,-1553,20040,35581,11,65523,0.00543001192474997,71.9366051165449,527123,NaN,NaN,0
551,160,-4257,-1567,20079,35596,11,65528,0.00304981865807154,72.3660493324095,527611,NaN,NaN,0
555,133,-4212,-1550,20050,35568,11,65520,0.00553117274871509,72.3692009441459,527103,NaN,NaN,0
573,132,-4269,-1557,20082,35596,11,65518,0.00443366918311518,72.3670186492527,527329,NaN,NaN,0
554,145,-4228,-1549,20063,35557,11,65527,0.00508914291815806,71.1472383418459,527200,NaN,NaN,0
551,141,-4204,-1539,20049,35553,11,65549,0.00440653942196515,72.3678974086441,527342,NaN,NaN,0
558,139,-4240,-1541,20075,35563,11,65545,0.00412411521793213,72.3653583509168,527404,NaN,NaN,0
556,136,-4243,-1531,20069,35542,11,65516,0.00467129104559942,72.3678953699073,527295,NaN,NaN,0
566,133,-4218,-1589,20048,35644,11,65524,0.00515871853767093,72.2441156004676,527196,NaN,NaN,0
565,140,-4234,-1572,20063,35601,11,65525,0.00543292105955894,72.3690750817843,527140,NaN,NaN,0
560,141,-4228,-1548,20059,35575,11,65543,0.00399978652917778,72.3677487047822,527435,NaN,NaN,0
566,131,-4231,-1536,20064,35561,11,65549,0.00441465823357264,72.3670631448754,527353,NaN,NaN,0
563,130,-4236,-1553,20055,35614,11,65532,0.0027668897120287,72.3659800114623,527691,NaN,NaN,0
544,130,-4186,-1565,20027,35622,11,65522,0.00383815170699445,72.3668981128284,527474,NaN,NaN,0
562,131,-4227,-1570,20056,35606,11,65510,0.00569683169516958,72.368913000704,527094,NaN,NaN,0
565,149,-4241,-1550,20072,35561,11,65551,0.0046434465903639,71.77987283865,527316,NaN,NaN,0
563,124,-4241,-1553,20067,35609,11,65529,0.00380400023334215,72.3644243309912,527489,NaN,NaN,0
566,138,-4239,-1548,20065,35581,11,65545,0.00389723114061459,72.3672813638738,527470,NaN,NaN,0
587,136,-4249,-1653,20059,35767,11,65527,0.00434330769290109,71.4877620844416,527381,NaN,NaN,0
553,145,-4220,-1579,20050,35627,11,65525,0.00400051618482905,72.3675848348054,527456,NaN,NaN,0
563,127,-4241,-1545,20065,35574,11,65512,0.00516951277648785,72.3678686195421,527221,NaN,NaN,0
560,117,-4213,-1577,20046,35648,11,65514,0.00488926528102016,72.3657657642869,527280,NaN,NaN,0
553,139,-4233,-1555,20059,35604,11,65530,0.00305295680838901,72.3654155398471,527657,NaN,NaN,0
555,126,-4211,-1536,20055,35569,11,65547,0.00441796913640512,72.3652094003142,527380,NaN,NaN,0
564,119,-4222,-1486,20057,35478,11,65542,0.00520026068584319,72.3690663936551,527221,NaN,NaN,0
554,141,-4223,-1560,20062,35597,11,65545,0.00412883863637727,72.36544029454,527442,NaN,NaN,0
566,135,-4237,-1568,20061,35605,11,65519,0.00523131682502615,72.3688002006645,527217,NaN,NaN,0
573,175,-4251,-1664,20075,35736,11,65552,0.00453165878595314,72.3679961335474,527362,NaN,NaN,0
568,134,-4223,-1575,20053,35617,11,65531,0.00539286248416866,72.055932115526,527187,NaN,NaN,0
554,142,-4239,-1519,20067,35524,11,65534,0.00398743926001422,72.3676845888233,527475,NaN,NaN,0
537,128,-4203,-1504,20047,35505,11,65515,0.0047549192991069,72.3670601743569,527318,NaN,NaN,0
555,124,-4211,-1549,20043,35591,11,65515,0.00476997785672858,72.3677952513814,527316,NaN,NaN,0
566,117,-4238,-1566,20062,35636,11,65518,0.0043572554191296,72.364646105314,527404,NaN,NaN,0
555,132,-4224,-1531,20062,35557,11,65545,0.00414507719985898,72.3654739059298,527454,NaN,NaN,0
589,122,-4266,-1595,20078,35688,11,65544,0.00392442935755653,72.3553077356498,527503,NaN,NaN,0
558,144,-4251,-1576,20077,35627,11,65531,0.00384294395571702,72.3644031732663,527522,NaN,NaN,0
559,132,-4202,-1556,20039,35598,11,65542,0.00449153467561012,72.3682831649116,527390,NaN,NaN,0
552,144,-4219,-1563,20048,35611,11,65535,0.00327535199975193,72.3669182820709,527640,NaN,NaN,0
554,152,-4227,-1571,20059,35599,11,65533,0.0045407381199889,72.368235738425,527381,NaN,NaN,0
548,135,-4222,-1596,20062,35658,11,65512,0.00513662214769348,72.3639761102359,527259,NaN,NaN,0
553,140,-4250,-1564,20080,35594,11,65512,0.00514812501525419,71.4772398303634,527258,NaN,NaN,0
577,130,-4244,-1536,20069,35553,11,65545,0.00540780537616915,71.7292159409108,527205,NaN,NaN,0
563,126,-4213,-1533,20050,35564,11,65550,0.00453710312363878,72.3673184919034,527386,NaN,NaN,0
560,127,-4235,-1549,20056,35609,11,65527,0.00317584607153573,72.3653513048771,527665,NaN,NaN,0
581,120,-4255,-1539,20070,35570,11,65524,0.00551690253380125,72.2760808751688,527187,NaN,NaN,0
571,141,-4253,-1542,20074,35564,11,65546,0.00432072982710777,72.3680695053874,527432,NaN,NaN,0
568,136,-4236,-1574,20065,35629,11,65547,0.00425158686623726,72.3658637850247,527449,NaN,NaN,0
549,141,-4200,-1600,20038,35680,11,65536,0.00343405687159632,72.3651201979292,527618,NaN,NaN,0
551,131,-4202,-1536,20037,35575,11,65537,0.003634258008581,72.3673597057235,527577,NaN,NaN,0
571,118,-4265,-1570,20086,35630,11,65510,0.00540682876716032,72.3638145430806,527214,NaN,NaN,0
564,128,-4231,-1550,20053,35595,11,65523,0.00434095511728391,72.3679093236446,527433,NaN,NaN,0
567,131,-4261,-1551,20076,35605,11,65529,0.00341973349008494,72.3648129895792,527625,NaN,NaN,0
567,126,-4275,-1528,20093,35543,11,65509,0.00555256459534072,72.3528402008034,527194,NaN,NaN,0
562,141,-4247,-1533,20068,35557,11,65539,0.00368042809302836,72.3673589055248,527579,NaN,NaN,0
540,123,-4141,-1530,20003,35559,11,65549,0.00489483480323196,72.3459436562396,527331,NaN,NaN,0
558,129,-4249,-1525,20071,35551,11,65519,0.0042323998857114,72.3660762558984,527469,NaN,NaN,0
555,127,-4227,-1524,20055,35564,11,65536,0.00327765216819829,72.3653728457233,527665,NaN,NaN,0
560,150,-4245,-1569,20068,35613,11,65541,0.00350589618698512,72.3663953452405,527622,NaN,NaN,0
565,134,-4263,-1526,20075,35564,11,65534,0.00288716915845925,72.3656162776991,527750,NaN,NaN,0
552,145,-4220,-1567,20049,35620,11,65538,0.00320232124052182,72.3663631989512,527689,NaN,NaN,0
559,134,-4222,-1537,20050,35573,11,65541,0.00374716633647609,72.3674754198094,527578,NaN,NaN,0
556,126,-4239,-1563,20076,35613,11,65525,0.0050943825635372,72.3628476659354,527306,NaN,NaN,0
553,120,-4201,-1571,20034,35653,11,65523,0.0036954610323814,72.3649169361968,527593,NaN,NaN,0
562,137,-4232,-1573,20060,35596,11,65504,0.0067803734284374,71.9541599069525,526970,NaN,NaN,0
554,135,-4215,-1566,20047,35599,11,65509,0.00577068154594543,72.3691872086673,527179,NaN,NaN,0
563,126,-4226,-1532,20049,35580,11,65540,0.00338405086133219,72.3667771070084,527671,NaN,NaN,0
545,152,-4225,-1541,20059,35547,11,65527,0.00465961399000061,71.9967465757155,527413,NaN,NaN,0
576,143,-4274,-1570,20082,35610,11,65524,0.00472622219231229,72.3682420555437,527402,NaN,NaN,0
536,152,-4211,-1542,20045,35570,11,65530,0.00303158399965622,72.3666845232824,527752,NaN,NaN,0
580,130,-4258,-1568,20067,35628,11,65530,0.00435276098031346,72.3678996720689,527483,NaN,NaN,0
568,137,-4233,-1565,20061,35588,11,65524,0.0063876734884953,71.9602769887727,527072,NaN,NaN,0
561,129,-4233,-1547,20075,35582,11,65552,0.00511939838006229,71.2990503559188,527332,NaN,NaN,0
557,134,-4203,-1539,20041,35566,11,65546,0.00476110238431661,72.3686280197067,527408,NaN,NaN,0
562,125,-4235,-1560,20058,35629,11,65529,0.00368937302224361,72.3645623993871,527628,NaN,NaN,0
550,119,-4218,-1550,20058,35585,11,65503,0.00633101077006258,72.0454264370665,527090,NaN,NaN,0
553,143,-4243,-1537,20062,35572,11,65528,0.0031445885433362,72.366462095518,527745,NaN,NaN,0
541,146,-4207,-1571,20041,35624,11,65524,0.00357095712832483,72.3662266177947,527658,NaN,NaN,0
564,121,-4217,-1556,20038,35625,11,65525,0.00387363424529434,72.2358737962464,527598,NaN,NaN,0
573,126,-4229,-1568,20050,35624,11,65528,0.00516044459186645,72.3687915635765,527338,NaN,NaN,0
569,121,-4208,-1546,20039,35591,11,65541,0.00514581920143632,72.3689449088984,527342,NaN,NaN,0
574,125,-4264,-1542,20069,35604,11,65528,0.003176406927482,72.365908412927,527746,NaN,NaN,0
563,147,-4252,-1529,20075,35534,11,65542,0.00463413194734878,72.368404024407,527449,NaN,NaN,0
553,144,-4230,-1552,20058,35594,11,65540,0.00348481298062037,72.3659309194366,527685,NaN,NaN,0
558,127,-4222,-1549,20042,35616,11,65528,0.00304947788972752,72.3661985836888,527777,NaN,NaN,0
568,131,-4249,-1550,20065,35609,11,65539,0.00334230602983863,72.36546679398,527718,NaN,NaN,0
560,144,-4236,-1546,20060,35577,11,65541,0.00399029409043389,72.3677137995616,527586,NaN,NaN,0
567,135,-4247,-1541,20067,35562,11,65524,0.00535272497253834,72.3689865371736,527307,NaN,NaN,0
560,122,-4215,-1551,20044,35585,11,65505,0.00626724295308793,72.3695902911283,527122,NaN,NaN,0
556,140,-4247,-1531,20062,35572,11,65532,0.002703505725619,72.3660572535752,527856,NaN,NaN,0
550,130,-4205,-1574,20040,35629,11,65511,0.00529118226117292,72.3671802164682,527327,NaN,NaN,0
545,138,-4212,-1580,20059,35634,11,65534,0.00495419331520752,72.3633261621479,527397,NaN,NaN,0
564,154,-4235,-1570,20067,35583,11,65543,0.00594788418405988,71.0488405961083,527194,NaN,NaN,0
569,126,-4240,-1528,20068,35560,11,65550,0.00462230176652447,72.3660516644013,527466,NaN,NaN,0
569,143,-4233,-1549,20062,35571,11,65555,0.00502762520855485,72.3689270303943,527383,NaN,NaN,0
559,144,-4219,-1566,20054,35584,11,65528,0.00630467024569163,72.237508816932,527122,NaN,NaN,0
556,119,-4230,-1543,20059,35591,11,65513,0.00501347398616817,72.3651242229433,527387,NaN,NaN,0
560,128,-4238,-1528,20055,35571,11,65525,0.0035718537967296,72.3668376538279,527683,NaN,NaN,0
547,156,-4229,-1587,20057,35628,11,65516,0.00463880203358604,72.3676384614565,527465,NaN,NaN,0
568,132,-4212,-1567,20041,35624,11,65548,0.00452851474105718,72.3683323590578,527489,NaN,NaN,0
569,127,-4255,-1507,20068,35531,11,65535,0.0038556663999628,72.3675002884296,527627,NaN,NaN,0
558,141,-4234,-1572,20054,35641,11,65535,0.00301449451647731,72.3655103173695,527800,NaN,NaN,0
574,137,-4251,-1606,20075,35689,11,65547,0.00445002042589781,72.3639015984122,527507,NaN,NaN,0
551,137,-4217,-1534,20044,35574,11,65536,0.00331416436580788,72.3669963118153,527741,NaN,NaN,0
562,123,-4190,-1520,20035,35539,11,65559,0.00547267844946108,71.0062840000199,527299,NaN,NaN,0
564,133,-4235,-1547,20059,35570,11,65518,0.00585578649605285,72.3694834501139,527221,NaN,NaN,0
558,127,-4219,-1537,20058,35575,11,65549,0.00465757741678461,72.365008706994,527467,NaN,NaN,0
562,136,-4238,-1544,20061,35566,11,65520,0.00545003902271151,72.3690740319672,527305,NaN,NaN,0
564,123,-4217,-1566,20041,35623,11,65513,0.00540099795506533,72.3687482745055,527318,NaN,NaN,0
569,134,-4230,-1567,20054,35609,11,65529,0.00554595701147506,72.3692265107596,527290,NaN,NaN,0
554,136,-4194,-1524,20040,35528,11,65552,0.00563174015702115,72.3696453163138,527273,NaN,NaN,0
572,130,-4217,-1559,20047,35600,11,65546,0.00553450660802532,71.9902892487333,527295,NaN,NaN,0
552,146,-4211,-1555,20050,35565,11,65529,0.00612761619310589,72.0211504595255,527175,NaN,NaN,0
548,126,-4209,-1571,20044,35642,11,65518,0.00434765042544158,72.3643397602515,527540,NaN,NaN,0
549,139,-4240,-1514,20065,35516,11,65514,0.0049015094708221,72.3680653836657,527430,NaN,NaN,0
552,148,-4244,-1532,20065,35551,11,65529,0.00381247849125619,72.367441228992,527654,NaN,NaN,0
570,133,-4223,-1569,20047,35626,11,65542,0.00464780550287708,72.3683869525581,527484,NaN,NaN,0
569,127,-4253,-1573,20065,35653,11,65523,0.00370319536896626,72.3647687407149,527678,NaN,NaN,0
560,133,-4228,-1545,20055,35564,11,65514,0.00612495680771729,72.3697542125818,527183,NaN,NaN,0
575,116,-4239,-1536,20061,35593,11,65547,0.00428718332376557,72.3655348444736,527560,NaN,NaN,0
564,121,-4210,-1582,20035,35654,11,65510,0.00550073245094202,72.3684767943383,527313,NaN,NaN,0
549,129,-4199,-1540,20038,35552,11,65506,0.00677135401617855,72.3704341535794,527053,NaN,NaN,0
570,138,-4236,-1566,20058,35608,11,65536,0.00515682233852452,72.3688679630111,527384,NaN,NaN,0
552,146,-4219,-1572,20046,35620,11,65526,0.004291690371319,72.3679143057082,527566,NaN,NaN,0
548,144,-4240,-1537,20064,35562,11,65520,0.00410172351147909,72.3665443237475,527605,NaN,NaN,0
562,131,-4240,-1576,20073,35638,11,65538,0.00494883358132232,72.3632602054287,527433,NaN,NaN,0
577,121,-4238,-1536,20060,35583,11,65551,0.00461248414906483,72.3670029378001,527502,NaN,NaN,0
552,131,-4219,-1553,20054,35565,11,65495,0.00741701279701616,71.2200341164191,526928,NaN,NaN,0
632,99,-4437,-1454,20191,35441,11,65503,0.00636289123860086,72.3653466680679,527144,NaN,NaN,0
520,143,-4157,-1524,20019,35541,11,65543,0.00402862782951223,72.366141386447,527623,NaN,NaN,0
553,127,-4221,-1564,20057,35592,11,65496,0.00727300362389654,71.3545276249004,526962,NaN,NaN,0
558,110,-4195,-1534,20028,35569,11,65503,0.00654142584375044,72.1523731194885,527112,NaN,NaN,0
557,123,-4232,-1539,20057,35581,11,65513,0.00502335634692697,72.3663601915532,527424,NaN,NaN,0
564,163,-4265,-1602,20075,35668,11,65538,0.00310956143395333,72.3661665748923,527816,NaN,NaN,0
573,140,-4254,-1524,20074,35535,11,65553,0.00482221277553014,72.3686782744675,527466,NaN,NaN,0
581,92,-4327,-1424,20129,35411,11,65513,0.00521866753118097,72.3623197610054,527385,NaN,NaN,0
536,124,-4211,-1575,20063,35630,11,65504,0.00616349199844415,71.0280916848867,527192,NaN,NaN,0
574,136,-4249,-1539,20068,35571,11,65551,0.00452105789530199,72.3679107706752,527529,NaN,NaN,0
551,132,-4239,-1540,20072,35577,11,65529,0.00460507984624985,72.3635946367143,527514,NaN,NaN,0
551,141,-4231,-1592,20063,35642,11,65506,0.00594451129456489,72.3661721004566,527240,NaN,NaN,0
561,149,-4248,-1524,20074,35527,11,65551,0.00457774018681223,72.3679485974644,527521,NaN,NaN,0
567,162,-4220,-1603,20058,35633,11,65561,0.00611774852679309,71.0390042610433,527207,NaN,NaN,0
575,129,-4231,-1573,20051,35629,11,65531,0.00549719476141935,72.3691678025765,527335,NaN,NaN,0
562,130,-4233,-1542,20058,35555,11,65505,0.00682415035822446,72.3704105582209,527064,NaN,NaN,0
558,136,-4221,-1557,20048,35592,11,65520,0.00545125449131577,72.3690910401625,527346,NaN,NaN,0
557,128,-4221,-1550,20047,35615,11,65537,0.0034671983878845,72.3650963267206,527753,NaN,NaN,0
570,149,-4270,-1608,20083,35654,11,65502,0.006498984957117,72.3685246461301,527134,NaN,NaN,0
564,139,-4237,-1540,20065,35542,11,65524,0.00668287811954999,71.8567003289483,527097,NaN,NaN,0
551,154,-4225,-1564,20052,35604,11,65540,0.00372740157213615,72.3674456977826,527703,NaN,NaN,0
554,129,-4203,-1549,20038,35574,11,65512,0.00645284436714979,72.3701224955196,527146,NaN,NaN,0
552,141,-4214,-1565,20048,35583,11,65507,0.00681003514698137,72.3704431229523,527074,NaN,NaN,0
573,113,-4244,-1530,20061,35554,11,65500,0.00695311944989757,72.2619493344582,527048,NaN,NaN,0
575,144,-4242,-1621,20054,35710,11,65530,0.00448651268590716,72.3680286474873,527554,NaN,NaN,0
558,144,-4223,-1603,20049,35657,11,65507,0.00610636935645566,72.3692597375478,527224,NaN,NaN,0
563,139,-4244,-1560,20055,35627,11,65533,0.00292008654201323,72.3663494915546,527881,NaN,NaN,0
558,136,-4200,-1575,20034,35625,11,65531,0.0054864511745691,72.3692340326389,527356,NaN,NaN,0
535,147,-4196,-1621,20046,35678,11,65500,0.00672588594052382,71.4644252975352,527103,NaN,NaN,0
563,131,-4219,-1545,20061,35576,11,65558,0.00561307985312281,71.7068269390953,527334,NaN,NaN,0
555,141,-4208,-1573,20039,35621,11,65529,0.00504218815554701,72.368744277038,527451,NaN,NaN,0
556,132,-4264,-1510,20080,35536,11,65524,0.00372880733988104,72.3644756704738,527722,NaN,NaN,0
