CASE_NAME,CONFIG_ID,INPUT_COUNT,Y4_COUNT,Y8_COUNT,Y128_COUNT,EQUALIZER_SAT,EQUALIZER_MAX_ABS,EQUALIZER_EXCEEDS_SIGNED20,CIC_SAT
impulse,NF-P4D-R2-479LUT-468FF-4DSP-2BRAM-2MMCM,256,1245,2499,40064,0,263793,0,0
random_seed01,NF-P4D-R2-479LUT-468FF-4DSP-2BRAM-2MMCM,1024,4317,8643,138368,0,120042,0,0
