NODE,FS_IN_HZ,FS_OUT_HZ,SHAPE_PASS_ABS_MAX_DB,SHAPE_RIPPLE_PP_DB,ABSOLUTE_PASS_ABS_MAX_DB,ABSOLUTE_STOP_ATTENUATION_DB,WORST_STOP_FREQUENCY_HZ,DC_GAIN_DB,MODE_DELTA_FROM_4X_DB,SYMMETRY_LSB,GROUP_DELAY_SAMPLES,PHASE_FIT_RESIDUAL_RAD,PASS
4x,44100,176400,0.00461011104509308,0.00570287989222527,0.00301124649420846,78.670421577727,31398.5701538086,-0.00159886455087675,0,0,112,5.6843418860808e-14,1
8x,44100,352800,0.0053947430222571,0.00615509431506437,0.00346948146311072,78.5645179242433,31400.6346496582,-0.00270913017029444,-0.00111026561941769,0,229,5.6843418860808e-14,1
128x,44100,5644800,0.00611638305131387,0.00778298853758283,0.00514637657459155,72.33454054981,331984.627734375,-0.00347977108831357,-0.00188090653743681,0,3702.5,2.8421709430404e-14,1
4x,48000,192000,0.00461011104509308,0.00570287989222527,0.00301124649420846,78.6704215777831,34175.3129882812,-0.00159886455087675,0,0,112,5.6843418860808e-14,1
8x,48000,384000,0.0053947430222571,0.00571882520308602,0.00303321235113189,78.5645179241541,34177.5615234375,-0.00270913017029444,-0.00111026561941769,0,229,5.6843418860808e-14,1
128x,48000,6144000,0.00611638305131387,0.00611347019176685,0.00347685822877618,72.3345405500282,361343.8125,-0.00347977108831357,-0.00188090653743681,0,3702.5,2.1316282072803e-14,1
