variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT239,SLICE_X39Y57/DLUT,interp128_all2x_LUT2_8;interp128_all2x_LUT4_7,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y58/ALUT,interp128_all2x_LUT2_9;interp128_all2x_LUT4_8,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y58/BLUT,interp128_all2x_LUT2_10;interp128_all2x_LUT4_9,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y58/CLUT,interp128_all2x_LUT2_11;interp128_all2x_LUT4_10,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y58/DLUT,interp128_all2x_LUT2_12;interp128_all2x_LUT4_11,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y59/ALUT,interp128_all2x_LUT2_13;interp128_all2x_LUT4_12,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y59/BLUT,interp128_all2x_LUT2_14;interp128_all2x_LUT4_13,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y59/CLUT,interp128_all2x_LUT2_15;interp128_all2x_LUT4_14,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y59/DLUT,interp128_all2x_LUT2_16;interp128_all2x_LUT4_15,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y60/ALUT,interp128_all2x_LUT2_17;interp128_all2x_LUT4_16,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y60/BLUT,interp128_all2x_LUT2_18;interp128_all2x_LUT4_17,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y60/CLUT,interp128_all2x_LUT2_19;interp128_all2x_LUT4_18,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y60/DLUT,interp128_all2x_LUT2_20;interp128_all2x_LUT4_19,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y61/ALUT,interp128_all2x_LUT2_21;interp128_all2x_LUT4_20,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y61/BLUT,interp128_all2x_LUT2_22;interp128_all2x_LUT4_21,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X39Y61/CLUT,interp128_all2x_LUT4_22,,16倍CIC插值;FIR2/3级,16倍CIC插值
LUT239,SLICE_X40Y56/ALUT,interp128_all2x_LUT4_25,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y56/BLUT,interp128_all2x_LUT4_28,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y56/CLUT,interp128_all2x_LUT4_29,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y56/DLUT,interp128_all2x_LUT4_31,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y59/ALUT,interp128_all2x_LUT5,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y60/ALUT,interp128_all2x_LUT4_43,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X40Y60/BLUT,interp128_all2x_LUT3_19,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X41Y59/ALUT,burst_remaining[0]_i_1;burst_remaining[1]_i_1,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X41Y59/BLUT,burst_remaining[2]_i_1;burst_remaining[3]_i_2,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X41Y59/CLUT,interp128_all2x_LUT6,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X41Y59/DLUT,interp128_all2x_LUT6_1,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X42Y59/ALUT,interp128_all2x_LUT4_36,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X42Y59/BLUT,interp128_all2x_LUT4_38,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X42Y61/ALUT,interp128_all2x_LUT4_45,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y56/ALUT,interp128_all2x_LUT4_24,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y56/BLUT,interp128_all2x_LUT4_26,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y56/CLUT,interp128_all2x_LUT4_27,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y57/ALUT,interp128_all2x_LUT4_33,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y57/BLUT,interp128_all2x_LUT4_35,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y58/ALUT,interp128_all2x_LUT4_32,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y58/BLUT,interp128_all2x_LUT4_34,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y58/CLUT,interp128_all2x_LUT4_37,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y58/DLUT,interp128_all2x_LUT4_39,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y59/ALUT,interp128_all2x_LUT4_40,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y59/BLUT,interp128_all2x_LUT4_41,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y59/CLUT,interp128_all2x_LUT4_42,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y60/ALUT,interp128_all2x_LUT2_23;interp128_all2x_LUT2_24,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X43Y61/ALUT,interp128_all2x_LUT4_44,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X44Y54/ALUT,interp128_all2x_LUT2_68,,FIR1级,FIR1级
LUT239,SLICE_X44Y61/ALUT,interp128_all2x_LUT2_65,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X44Y61/BLUT,interp128_all2x_LUT2_66,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X45Y60/DLUT,interp128_all2x_LUT1_67,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X45Y61/ALUT,interp128_all2x_LUT2_25,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X45Y61/BLUT,interp128_all2x_LUT2_26,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X48Y53/ALUT,interp128_all2x_LUT5_29,,FIR1级,FIR1级
LUT239,SLICE_X48Y54/ALUT,wr_ptr[0]_i_1;wr_ptr[1]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X48Y54/BLUT,wr_ptr[2]_i_1;wr_ptr[3]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X48Y54/CLUT,wr_ptr[4]_i_1;wr_ptr[5]_i_2,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X48Y54/DLUT,interp128_all2x_LUT2_52;interp128_all2x_LUT2_53,,FIR1级,FIR1级
LUT239,SLICE_X48Y55/ALUT,read_addr[0]_i_1;read_addr[1]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X48Y55/BLUT,interp128_all2x_LUT2_43;interp128_all2x_LUT2_44,,FIR1级,FIR1级
LUT239,SLICE_X48Y55/CLUT,interp128_all2x_LUT2_45;interp128_all2x_LUT2_61,,FIR1级,FIR1级
LUT239,SLICE_X48Y55/DLUT,interp128_all2x_LUT2_60;interp128_all2x_LUT2_62,,FIR1级,FIR1级
LUT239,SLICE_X48Y56/ALUT,interp128_all2x_LUT2_40;interp128_all2x_LUT2_50,,FIR1级,FIR1级
LUT239,SLICE_X48Y56/BLUT,interp128_all2x_LUT2_42;interp128_all2x_LUT2_58,,FIR1级,FIR1级
LUT239,SLICE_X48Y56/CLUT,interp128_all2x_LUT2_46;interp128_all2x_LUT2_56,,FIR1级,FIR1级
LUT239,SLICE_X48Y56/DLUT,interp128_all2x_LUT2_49;interp128_all2x_LUT2_54,,FIR1级,FIR1级
LUT239,SLICE_X48Y57/ALUT,interp128_all2x_LUT2_39;interp128_all2x_LUT2_41,,FIR1级,FIR1级
LUT239,SLICE_X48Y57/BLUT,interp128_all2x_LUT2_47;interp128_all2x_LUT2_55,,FIR1级,FIR1级
LUT239,SLICE_X48Y57/CLUT,interp128_all2x_LUT2_48;interp128_all2x_LUT2_57,,FIR1级,FIR1级
LUT239,SLICE_X48Y57/DLUT,interp128_all2x_LUT1_121;interp128_all2x_LUT2_63,,16倍CIC插值;2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X49Y54/ALUT,interp128_all2x_LUT6_14,,FIR1级,FIR1级
LUT239,SLICE_X49Y54/BLUT,interp128_all2x_LUT6_20,,FIR1级,FIR1级
LUT239,SLICE_X49Y54/CLUT,scan_exhausted_i_2;wr_ptr[5]_i_3,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X49Y54/DLUT,interp128_all2x_LUT2_64,,FIR1级,FIR1级
LUT239,SLICE_X49Y55/ALUT,interp128_all2x_LUT5_27,,FIR1级,FIR1级
LUT239,SLICE_X49Y55/BLUT,interp128_all2x_LUT6_18,,FIR1级,FIR1级
LUT239,SLICE_X49Y55/CLUT,interp128_all2x_LUT6_19,,FIR1级,FIR1级
LUT239,SLICE_X49Y55/DLUT,interp128_all2x_LUT4_50,,FIR1级,FIR1级
LUT239,SLICE_X49Y56/ALUT,interp128_all2x_LUT4_51,,FIR1级,FIR1级
LUT239,SLICE_X49Y56/BLUT,interp128_all2x_LUT5_28,,FIR1级,FIR1级
LUT239,SLICE_X49Y56/CLUT,interp128_all2x_LUT2_51;interp128_all2x_LUT2_59,,FIR1级,FIR1级
LUT239,SLICE_X54Y55/ALUT,interp128_all2x_LUT4_49,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X54Y55/BLUT,interp128_all2x_LUT3_27,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X54Y56/ALUT,interp128_all2x_LUT5_26,,16倍CIC插值,16倍CIC插值
LUT239,SLICE_X55Y56/ALUT,y_out[0]_i_1__0;y_out[19]_i_3,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y56/BLUT,y_out[1]_i_1__0;y_out[2]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y57/ALUT,y_out[3]_i_1__0;y_out[4]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y57/BLUT,y_out[5]_i_1__0;y_out[6]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y58/ALUT,y_out[10]_i_1__0;y_out[9]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y58/BLUT,y_out[7]_i_1__0;y_out[8]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y59/ALUT,y_out[11]_i_1__0;y_out[12]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y59/BLUT,y_out[13]_i_1__0;y_out[14]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y59/CLUT,y_out[15]_i_1__0;y_out[16]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
LUT239,SLICE_X55Y60/ALUT,y_out[17]_i_1__0;y_out[18]_i_1__0,2→4倍桥接量化,16倍CIC插值,2→4倍桥接量化
