variant,physical_lut,primitive_cells,direct_modules,endpoint_modules,classification
LUT218,SLICE_X58Y51/ALUT,interp128_all2x_LUT4_27,,FIR1级,FIR1级
LUT218,SLICE_X58Y51/BLUT,interp128_all2x_LUT5_28,,FIR1级,FIR1级
LUT218,SLICE_X58Y51/CLUT,interp128_all2x_LUT2_18;interp128_all2x_LUT2_32,,FIR1级,FIR1级
LUT218,SLICE_X58Y51/DLUT,interp128_all2x_LUT2_27;interp128_all2x_LUT2_35,,FIR1级,FIR1级
LUT218,SLICE_X58Y52/ALUT,interp128_all2x_LUT6_21,,FIR1级,FIR1级
LUT218,SLICE_X58Y52/BLUT,interp128_all2x_LUT2_17;interp128_all2x_LUT2_25,,FIR1级,FIR1级
LUT218,SLICE_X58Y52/CLUT,interp128_all2x_LUT6_20,,FIR1级,FIR1级
LUT218,SLICE_X58Y52/DLUT,interp128_all2x_LUT4_26,,FIR1级,FIR1级
LUT218,SLICE_X8Y53/ALUT,interp128_all2x_LUT2_5,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X8Y54/ALUT,interp128_all2x_LUT1_76,,FIR2/3级,FIR2/3级
LUT218,SLICE_X8Y54/BLUT,interp128_all2x_LUT2_4;interp128_all2x_LUT4_23,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X8Y54/CLUT,interp128_all2x_LUT3_21;interp128_all2x_LUT5_1,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X8Y54/DLUT,interp128_all2x_LUT3_23;interp128_all2x_LUT5_2,,FIR2/3级,FIR2/3级
LUT218,SLICE_X8Y55/ALUT,job_history_head[2]_i_1;stage2_head[2]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X8Y55/BLUT,stage2_head[3]_i_2;stage2_history_full_i_1,2→4倍桥接量化;FIR2/3级,FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X8Y55/CLUT,interp128_all2x_LUT6_6,,FIR2/3级,FIR2/3级
LUT218,SLICE_X8Y55/DLUT,interp128_all2x_LUT5_30,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT218,SLICE_X8Y56/ALUT,stage3_head[0]_i_1;stage3_head[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X8Y56/BLUT,stage3_head[2]_i_1;stage3_head[3]_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X8Y56/CLUT,interp128_all2x_LUT1_35;interp128_all2x_LUT2_11,,FIR2/3级,FIR2/3级
LUT218,SLICE_X8Y56/DLUT,interp128_all2x_LUT6_7,,FIR2/3级,FIR2/3级
LUT218,SLICE_X8Y57/ALUT,interp128_all2x_LUT1_34,,FIR2/3级,FIR2/3级
LUT218,SLICE_X9Y54/ALUT,gen_primitive.u_stage23_history_ramb18e1_i_35;job_history_head[0]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X9Y54/BLUT,job_history_head[1]_i_1;stage2_head[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X9Y54/CLUT,interp128_all2x_LUT6_12,,FIR2/3级,FIR2/3级
LUT218,SLICE_X9Y55/ALUT,job_history_head[3]_i_1;job_phase_i_2,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X9Y55/BLUT,job_mac_index[0]_i_1;job_mac_index[1]_i_1,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X9Y55/CLUT,job_mac_index[2]_i_1;job_mac_index[3]_i_3,2→4倍桥接量化,FIR2/3级,2→4倍桥接量化
LUT218,SLICE_X9Y55/DLUT,interp128_all2x_LUT3_26,,FIR2/3级,FIR2/3级
LUT218,SLICE_X9Y56/ALUT,interp128_all2x_LUT2_47,,FIR2/3级,FIR2/3级
LUT218,SLICE_X9Y56/BLUT,interp128_all2x_LUT6_22,,FIR2/3级,FIR2/3级
LUT218,SLICE_X9Y56/CLUT,interp128_all2x_LUT2_8,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT218,SLICE_X9Y56/DLUT,interp128_all2x_LUT2_9,,2→4倍桥接量化;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X12Y55/ALUT,interp128_all2x_LUT2_28,,FIR2/3级;FIR共享系数存储,滤波器核心跨级/共享逻辑
LUT239,SLICE_X12Y56/ALUT,interp128_all2x_LUT1_78;interp128_all2x_LUT2_35,,FIR1级,FIR1级
LUT239,SLICE_X12Y56/BLUT,interp128_all2x_LUT2_38;interp128_all2x_LUT2_72,,FIR1级,FIR1级
LUT239,SLICE_X12Y57/ALUT,interp128_all2x_LUT1_71;interp128_all2x_LUT2_75,,FIR2/3级,FIR2/3级
LUT239,SLICE_X12Y57/BLUT,interp128_all2x_LUT2_73;interp128_all2x_LUT2_74,,FIR1级,FIR1级
LUT239,SLICE_X12Y57/CLUT,interp128_all2x_LUT6_13,,FIR1级,FIR1级
LUT239,SLICE_X12Y57/DLUT,interp128_all2x_LUT6_5,,FIR2/3级,FIR2/3级
LUT239,SLICE_X12Y58/ALUT,interp128_all2x_LUT2_30;interp128_all2x_LUT3_30,,FIR2/3级,FIR2/3级
LUT239,SLICE_X12Y58/BLUT,interp128_all2x_LUT2_76;interp128_all2x_LUT2_77,,FIR2/3级,FIR2/3级
LUT239,SLICE_X28Y53/ALUT,interp128_all2x_LUT1_112,,FIR1级,FIR1级
LUT239,SLICE_X28Y53/BLUT,issue_index[1]_i_1;issue_index[2]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y54/ALUT,interp128_all2x_LUT3_31,,FIR1级,FIR1级
LUT239,SLICE_X28Y54/BLUT,y_out[1]_i_1;y_out[2]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y54/CLUT,y_out[5]_i_1;y_out[6]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y55/ALUT,y_out[10]_i_1;y_out[9]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y55/BLUT,y_out[11]_i_1;y_out[12]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y55/CLUT,y_out[3]_i_1;y_out[4]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y55/DLUT,y_out[7]_i_1;y_out[8]_i_1,2→4倍桥接量化,FIR1级,2→4倍桥接量化
LUT239,SLICE_X28Y56/ALUT,interp128_all2x_LUT5_14,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X28Y56/BLUT,interp128_all2x_LUT5_16,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X28Y56/CLUT,interp128_all2x_LUT5_19,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
LUT239,SLICE_X28Y56/DLUT,interp128_all2x_LUT5_21,,2→4倍桥接量化;FIR1级;FIR2/3级,滤波器核心跨级/共享逻辑
