VARIANT,FIRST_CANONICAL_STAGE,PASS_ABS_MAX_DB,PASS_RIPPLE_PM_DB,STOP_ATTN_DB,DC_GAIN,GROUP_DELAY_SAMPLES,NONZERO_HALF_TOTAL,PASS_ALL
baseline,8,0.00729792957667938,0.0079313912845601,77.6793634521743,128.018546029362,3325,77,1
stage7,7,0.00729792957667938,0.0079313912845601,77.6793634521743,128.018546029362,3325,77,1
stage6_7,6,0.00728953300937624,0.00792579657201432,77.6793452128154,128.018546029362,3325,76,1
stage5_7,5,0.00720559955745885,0.00786987517464894,77.6791629676408,128.018546029362,3325,75,1
stage4_7,4,0.00715180703552482,0.00686374995669916,77.6773561889932,127.997062147471,3325,74,1
