CASE_NAME,CONFIG_ID,INPUT_COUNT,Y4_COUNT,Y8_COUNT,Y128_COUNT,P3_STAGE3_SAT,P3_STAGE3_MAX_ABS,CIC_SAT
impulse,NF-P3-RTL-JOINT-STAGE3-EQ-R1,256,1245,2499,40064,0,263662,0
random_seed01,NF-P3-RTL-JOINT-STAGE3-EQ-R1,1024,4317,8643,138368,0,119992,0
